2025-06-27 11:16:09,727 - training.phase1_lora_training - INFO - info:68 - Phase 1 trainer initialized
2025-06-27 11:16:09,727 - training.phase1_lora_training - INFO - info:68 - Starting Phase 1: Training all LoRA adapters
2025-06-27 11:16:10,175 - training.phase1_lora_training - INFO - info:68 - ==================================================
2025-06-27 11:16:10,175 - training.phase1_lora_training - INFO - info:68 - Training sentiment adapter
2025-06-27 11:16:10,175 - training.phase1_lora_training - INFO - info:68 - ==================================================
2025-06-27 11:16:10,175 - training.phase1_lora_training - INFO - info:68 - Training sentiment adapter for 1 epochs
2025-06-27 11:16:10,177 - training - INFO - info:68 - Starting Epoch 0
2025-06-27 11:16:22,974 - training - INFO - info:68 - Step 1: Loss=0.6691, LR=2.97e-06
2025-06-27 11:16:23,612 - training - INFO - info:68 - Step 2: Loss=0.6965, LR=5.94e-06
2025-06-27 11:16:24,263 - training - INFO - info:68 - Step 3: Loss=0.6898, LR=8.91e-06
2025-06-27 11:16:24,889 - training - INFO - info:68 - Step 4: Loss=0.6818, LR=1.19e-05
2025-06-27 11:16:25,516 - training - INFO - info:68 - Step 5: Loss=0.6775, LR=1.49e-05
2025-06-27 11:16:26,161 - training - INFO - info:68 - Step 6: Loss=0.6994, LR=1.78e-05
2025-06-27 11:16:26,792 - training - INFO - info:68 - Step 7: Loss=0.6818, LR=2.08e-05
2025-06-27 11:16:27,431 - training - INFO - info:68 - Step 8: Loss=0.6690, LR=2.38e-05
2025-06-27 11:16:28,058 - training - INFO - info:68 - Step 9: Loss=0.7105, LR=2.67e-05
2025-06-27 11:16:28,688 - training - INFO - info:68 - Step 10: Loss=0.7095, LR=2.97e-05
2025-06-27 11:16:29,317 - training - INFO - info:68 - Step 11: Loss=0.6898, LR=3.27e-05
2025-06-27 11:16:29,948 - training - INFO - info:68 - Step 12: Loss=0.7528, LR=3.57e-05
2025-06-27 11:16:30,571 - training - INFO - info:68 - Step 13: Loss=0.6807, LR=3.86e-05
2025-06-27 11:16:31,221 - training - INFO - info:68 - Step 14: Loss=0.7079, LR=4.16e-05
2025-06-27 11:16:31,850 - training - INFO - info:68 - Step 15: Loss=0.7436, LR=4.46e-05
2025-06-27 11:16:32,487 - training - INFO - info:68 - Step 16: Loss=0.6336, LR=4.75e-05
2025-06-27 11:16:33,152 - training - INFO - info:68 - Step 17: Loss=0.7627, LR=5.05e-05
2025-06-27 11:16:33,801 - training - INFO - info:68 - Step 18: Loss=0.6010, LR=5.35e-05
2025-06-27 11:16:34,439 - training - INFO - info:68 - Step 19: Loss=0.7591, LR=5.64e-05
2025-06-27 11:16:35,074 - training - INFO - info:68 - Step 20: Loss=0.6487, LR=5.94e-05
2025-06-27 11:16:35,716 - training - INFO - info:68 - Step 21: Loss=0.6368, LR=6.24e-05
2025-06-27 11:16:36,388 - training - INFO - info:68 - Step 22: Loss=0.6308, LR=6.54e-05
2025-06-27 11:16:37,029 - training - INFO - info:68 - Step 23: Loss=0.6216, LR=6.83e-05
2025-06-27 11:16:37,672 - training - INFO - info:68 - Step 24: Loss=0.7831, LR=7.13e-05
2025-06-27 11:16:38,326 - training - INFO - info:68 - Step 25: Loss=0.6228, LR=7.43e-05
2025-06-27 11:16:38,990 - training - INFO - info:68 - Step 26: Loss=0.6987, LR=7.72e-05
2025-06-27 11:16:39,638 - training - INFO - info:68 - Step 27: Loss=0.6189, LR=8.02e-05
2025-06-27 11:16:40,282 - training - INFO - info:68 - Step 28: Loss=0.8058, LR=8.32e-05
2025-06-27 11:16:40,937 - training - INFO - info:68 - Step 29: Loss=0.8586, LR=8.62e-05
2025-06-27 11:16:41,581 - training - INFO - info:68 - Step 30: Loss=0.6386, LR=8.91e-05
2025-06-27 11:16:42,239 - training - INFO - info:68 - Step 31: Loss=0.7038, LR=9.21e-05
2025-06-27 11:16:42,884 - training - INFO - info:68 - Step 32: Loss=0.5685, LR=9.51e-05
2025-06-27 11:16:43,536 - training - INFO - info:68 - Step 33: Loss=0.6972, LR=9.80e-05
2025-06-27 11:16:44,185 - training - INFO - info:68 - Step 34: Loss=0.6373, LR=1.01e-04
2025-06-27 11:16:44,863 - training - INFO - info:68 - Step 35: Loss=0.7599, LR=1.04e-04
2025-06-27 11:16:45,507 - training - INFO - info:68 - Step 36: Loss=0.6569, LR=1.07e-04
2025-06-27 11:16:46,159 - training - INFO - info:68 - Step 37: Loss=0.6927, LR=1.10e-04
2025-06-27 11:16:46,810 - training - INFO - info:68 - Step 38: Loss=0.6840, LR=1.13e-04
2025-06-27 11:16:47,464 - training - INFO - info:68 - Step 39: Loss=0.6845, LR=1.16e-04
2025-06-27 11:16:48,117 - training - INFO - info:68 - Step 40: Loss=0.7047, LR=1.19e-04
2025-06-27 11:16:48,773 - training - INFO - info:68 - Step 41: Loss=0.6869, LR=1.22e-04
2025-06-27 11:16:49,428 - training - INFO - info:68 - Step 42: Loss=0.6855, LR=1.25e-04
2025-06-27 11:16:50,087 - training - INFO - info:68 - Step 43: Loss=0.6922, LR=1.28e-04
2025-06-27 11:16:50,855 - training - INFO - info:68 - Step 44: Loss=0.6910, LR=1.31e-04
2025-06-27 11:16:51,507 - training - INFO - info:68 - Step 45: Loss=0.6892, LR=1.34e-04
2025-06-27 11:16:52,179 - training - INFO - info:68 - Step 46: Loss=0.6603, LR=1.37e-04
2025-06-27 11:16:52,839 - training - INFO - info:68 - Step 47: Loss=0.6647, LR=1.40e-04
2025-06-27 11:16:53,494 - training - INFO - info:68 - Step 48: Loss=0.6639, LR=1.43e-04
2025-06-27 11:16:54,155 - training - INFO - info:68 - Step 49: Loss=0.6780, LR=1.46e-04
2025-06-27 11:16:54,806 - training - INFO - info:68 - Step 50: Loss=0.6318, LR=1.49e-04
2025-06-27 11:16:55,456 - training - INFO - info:68 - Step 51: Loss=0.5963, LR=1.52e-04
2025-06-27 11:16:56,113 - training - INFO - info:68 - Step 52: Loss=0.7735, LR=1.54e-04
2025-06-27 11:16:56,856 - training - INFO - info:68 - Step 53: Loss=0.7481, LR=1.57e-04
2025-06-27 11:16:57,515 - training - INFO - info:68 - Step 54: Loss=0.6874, LR=1.60e-04
2025-06-27 11:16:58,185 - training - INFO - info:68 - Step 55: Loss=0.6823, LR=1.63e-04
2025-06-27 11:16:58,846 - training - INFO - info:68 - Step 56: Loss=0.6461, LR=1.66e-04
2025-06-27 11:16:59,519 - training - INFO - info:68 - Step 57: Loss=0.7016, LR=1.69e-04
2025-06-27 11:17:00,179 - training - INFO - info:68 - Step 58: Loss=0.7370, LR=1.72e-04
2025-06-27 11:17:00,850 - training - INFO - info:68 - Step 59: Loss=0.6948, LR=1.75e-04
2025-06-27 11:17:01,511 - training - INFO - info:68 - Step 60: Loss=0.6294, LR=1.78e-04
2025-06-27 11:17:02,168 - training - INFO - info:68 - Step 61: Loss=0.6918, LR=1.81e-04
2025-06-27 11:17:02,834 - training - INFO - info:68 - Step 62: Loss=0.7141, LR=1.84e-04
2025-06-27 11:17:03,497 - training - INFO - info:68 - Step 63: Loss=0.5809, LR=1.87e-04
2025-06-27 11:17:04,162 - training - INFO - info:68 - Step 64: Loss=0.7381, LR=1.90e-04
